Product Title,Product Image,Pack Size,Price,Price Per Unit
Just Organic Extra Virgin Olive Oil 500ml,https://www.aldi.com.au/fileadmin/_processed_/5/7/csm_ALN2230_Q1_OLIVE_OIL_1x1_228x128__a535a40aec.jpg,500ml,$4.69,94c per 100ml
Choceur Milk & White Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/c/8/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_4_78dbbba64b.jpg,200g,$2.99,$1.50 per 100g
Choceur Salted Pretzel Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/4/f/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_5_659698b53b.jpg,200g,$2.99,$1.50 per 100g
Choceur Coffee & Cream Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/a/0/csm_ALN1075_1x1_CHOCOLATE_228x128_3_4821d9e789.jpg,200g,$2.99,$1.50 per 100g
Choceur Milk Hazelnut Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/2/a/csm_ALN1075_1x1_CHOCOLATE_228x128__eb415d998d.jpg,200g,$2.99,$1.50 per 100g
Choceur Dark Hazelnut Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/1/0/csm_ALC7929_Choceur_Range_1x1_228x128_2_94a3b1e04e.jpg,200g,$2.99,$1.50 per 100g
Choceur Fruit & Nut Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_ALC7929_Choceur_Range_1x1_228x128_4_d70e55dc3a.jpg,200g,$2.99,$1.50 per 100g
Choceur White Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_ALC7929_Choceur_Range_1x1_228x128_7_0ad82064c2.jpg,200g,$2.99,$1.50 per 100g
Choceur Rum Raisin & Nut Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/8/0/csm_ALC7929_Choceur_Range_1x1_228x128_5_e9f7b644ce.jpg,200g,$2.99,$1.50 per 100g
Choceur Milk Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_ALC7929_Choceur_Range_1x1_228x128_16_290ff7d341.jpg,200g,$2.99,$1.50 per 100g
Blackstone Paddock “The Player” Barossa Valley Shiraz 750ml,https://www.aldi.com.au/fileadmin/_processed_/d/1/csm_ALN2364_AWARDS_WINE_1x1_228x128_28_311a11399e.jpg,750ml,$12.99,see price in store*
Just Organic Passata 690g,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2230_Q1_ORGANIC_1x1_228x128_3_fb7f52bc89.jpg,690g,$2.09,30c per 100g
Just Organic Penne Pasta 500g,https://www.aldi.com.au/fileadmin/_processed_/0/7/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_5_8820d95ba9.jpg,500g,$1.59,32c per 100g
Just Organic Baked Beans in Tomato Sauce 420g,https://www.aldi.com.au/fileadmin/_processed_/7/f/csm_ALN2745_Q2_WEB_AUDIT__JUST-ORGANIC__1x1_228x128_2_51595ce338.jpg,420g,9549,23c per 100g
Just Organic Quinoa – White or Tricolour 500g,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN2670_Q1_WEB_AUDIT__JUST_ORGANIC__1x1_228x128__06fd270707.jpg,500g,c49,$1.00 per 100g
Just Organic Green Tea 50pk/75g,https://www.aldi.com.au/fileadmin/_processed_/b/c/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_2_1c4b59e61c.jpg,50pk/75g,$6.49,$3.32 per 100g
Just Organic Rooibos Tea 50pk/80g,https://www.aldi.com.au/fileadmin/_processed_/d/9/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_3_f01fe6955f.jpg,50pk/80g,$2.49,$3.11 per 100g
Just Organic Black Tea 50pk/100g,https://www.aldi.com.au/fileadmin/_processed_/f/e/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_4_18d9d12601.jpg,50pk/100g,$2.49,$2.49 per 100g
Organic Kombucha – Ginger & Lemon 330ml,https://www.aldi.com.au/fileadmin/_processed_/3/9/csm_ALN2230_Q1_ORGANIC_1x1_228x128_7_f1030b5e05.jpg,330ml,$2.49,$6.03 per litre
Organic Kombucha – Raspberry & Lemon 330ml,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN2218_Q2_Just_Organic_Kombucha_Raspberry_Lemon_330ml_1x1_228x128_56311b0a66.jpg,330ml,$2.29,$6.03 per litre
Mamia Baby Fruit 4 Months+ 120g,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_ALN2460_Q3_WEB_AUDIT_Babycare__1x1_228x128_05849678b9.jpg,120g,8979,74c per 100g
Remano Olive Oil / Mild Olive Oil 1L,https://www.aldi.com.au/fileadmin/_processed_/b/a/csm_ALN1075_OLIVE-OIL_1x1_228x128_3_01_903bd437f6.jpg,1L,$5.99,60c per 100ml
The Olive Tree Australian Extra Virgin Olive Oil Spray 225g,https://www.aldi.com.au/fileadmin/_processed_/f/b/csm_ALN1726-3_1x1_OLIVE-OIL_228x128__1ed3ae0fb0.jpg,225g,$2.99,$1.33 per 100g
The Olive Tree Australian Extra Virgin Olive Oil 1L – Classic,https://www.aldi.com.au/fileadmin/_processed_/4/b/csm_ALN2364_AWARDS_OILS-SAUCES_1x1_228x128__905cf88253.jpg,Classic,$8.99,90c per 100ml
The Olive Tree Australian Extra Virgin Olive Oil 3L,https://www.aldi.com.au/fileadmin/_processed_/6/9/csm_ALN2364_AWARDS_OILS-SAUCES_1x1_228x128_2_97c6e8fa85.jpg,3L,$23.99,80c per 100ml
Remano Extra Virgin Olive Oil 3.78L,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN1136_1x1_OIL_228x128_3_ad13e61490.jpg,3.78L,$19.99,53c per 100ml
Cobram Estate  Australia Extra Virgin Olive Oil 500ml,https://www.aldi.com.au/fileadmin/_processed_/f/c/csm_ALN1075_OLIVE-OIL_1x1_228x128_3_2e4e733cf5.jpg,500ml,$7.99,$1.60 per 100ml
Choceur Dark Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/7/2/csm_ALC7929_Choceur_Range_1x1_228x128_15_c9eb465d0b.jpg,200g,$2.99,$1.50 per 100g
Choceur Milk Almond Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_ALC7929_Choceur_Range_1x1_228x128__e3419fff68.jpg,200g,$2.99,$1.50 per 100g
Choceur Dark Almond Chocolate Block 200g,https://www.aldi.com.au/fileadmin/_processed_/2/e/csm_ALN1075_1x1_CHOCOLATE_228x128_9_9f99d831fc.jpg,200g,$2.99,$1.50 per 100g
Hazelnut Crème Mini Chocolate Bars 5 x 40g,https://www.aldi.com.au/fileadmin/_processed_/a/f/csm_ALN1075_1x1_CHOCOLATE_228x128_6_c1be250e10.jpg,40g,$2.99,$1.50 per 100g
Milk Mini Chocolate Bars 5 x 40g,https://www.aldi.com.au/fileadmin/_processed_/c/e/csm_ALC7929_Choceur_Range_1x1_228x128_9_ce5fd0c5ec.jpg,40g,$2.99,$1.50 per 100g
Dark Mini Chocolate Bars 5 x 40g,https://www.aldi.com.au/fileadmin/_processed_/c/0/csm_ALC7929_Choceur_Range_1x1_228x128_10_f0b10f2f56.jpg,40g,$2.99,$1.50 per 100g
MAMIA® Unisex Newborn Nappies,https://www.aldi.com.au/fileadmin/_processed_/2/7/csm_ALN3077_AWARD_NAPPIES_1x1_228x128__f9bd3e8363.jpg,Nappies,$3.99,14c per nappy
Power Force Gel Toilet Discs 75ml,https://www.aldi.com.au/fileadmin/_processed_/0/4/csm_ALN2364_AWARDS_HOME_CLEANING_1x1_228x128__df81e22722.jpg,75ml,$4.99,$6.65 per 100ml
Just Organic Apple Cider Vinegar 500ml,https://www.aldi.com.au/fileadmin/_processed_/0/b/csm_ALN2230_Q1_ORGANIC_1x1_228x128_9_13ebed85c3.jpg,500ml,$2.79,66c per 100ml
Just Organic UHT Milk 1L,https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_ALN2619_Q4_WEB_AUDIT_JUST_ORGANIC_1x1_228x128__5beb2e3fe6.jpg,1L,$3.49,$1.79 per litre
Just Organic UHT Soy Milk 1L,https://www.aldi.com.au/fileadmin/_processed_/e/1/csm_ALN2218_Q2_Just_Organic_UHT_Soy_milk_1L_1x1_228x128_76d25f9005.jpg,1L,$1.99,$1.49 per litre
Just Organic Natural Yogurt 1kg,https://www.aldi.com.au/fileadmin/_processed_/4/5/csm_ALN2218_Q2_Just_Organic_Natural_Yoghurt_1kg_1x1_228x128_b88be6036a.jpg,1kg,$1.49,50c per 100g
Just Organic Natural Yogurt 500g,https://www.aldi.com.au/fileadmin/_processed_/1/7/csm_ALN2619_Q4_WEB_AUDIT_JUST_ORGANIC_1x1_228x128_2_57aa47f732.jpg,500g,$4.99,70c per 100g
Just Organic Vanilla Bean Yogurt 1kg,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_ALN2218_Q2_Just_Organic_Vanilla_Bean_Yoghurt_1kg_1x1_228x128_012c537839.jpg,1kg,$3.99,50c per 100g
Just Organic Brie 125g,https://www.aldi.com.au/fileadmin/_processed_/c/2/csm_ALN2362_Just_Organic_Brie_125g_1x1_228x128_53fe03b357.jpg,125g,$4.49,$31.92 per kg
Just Organic Granola 500g Berry,https://www.aldi.com.au/fileadmin/_processed_/3/c/csm_ALN2218_Q2_Just_Organic_Granola_500g_Berry_1x1_228x128_01_2a453ebad6.jpg,Berry,$3.49,90c per 100g
Mamia Baby’s First Breakfast 4mth+ Fruit & Cereal,https://www.aldi.com.au/fileadmin/_processed_/8/5/csm_ALN1726-2_1x1_BABYCARE_228x128__e191cf1e0e.jpg,Cereal,c79,74c per 100g
White Mini Chocolate Bars 5 x 40g,https://www.aldi.com.au/fileadmin/_processed_/0/f/csm_ALC7929_Choceur_Range_1x1_228x128_11_08d4103b5c.jpg,40g,$2.99,$1.50 per 100g
Hazelnut Mini Chocolate Bars 5 x 40g,https://www.aldi.com.au/fileadmin/_processed_/d/e/csm_ALN1075_1x1_CHOCOLATE_228x128_2_e2975ef762.jpg,40g,$2.99,$1.50 per 100g
Marzipan Mini Chocolate Bars 5 x 40g,https://www.aldi.com.au/fileadmin/_processed_/f/3/csm_ALC7929_Choceur_Range_1x1_228x128_13_49d4fa7114.jpg,40g,$2.99,$1.50 per 100g
White Crisp Mini Chocolate Bars 5 x 40g,https://www.aldi.com.au/fileadmin/_processed_/1/e/csm_ALC7929_Choceur_Range_1x1_228x128_12_52a1f5a870.jpg,40g,$2.99,$1.50 per 100g
Choceur Mountain Bar 100g,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN2230_Q1_CHOCOLATE_1x1_228x128__b9f35aa6ba.jpg,100g,$1.99,$1.99 per 100g
MAMIA® Unisex Infant Nappies 4kg-8kg 56pk,https://www.aldi.com.au/fileadmin/_processed_/4/e/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_2_9895863bf6.jpg,56pk,$9.99,18c per nappy
MAMIA® Unisex Crawler Nappies 6kg-11kg 56pk,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_3_3e8bd649f8.jpg,56pk,$9.99,18c per nappy
MAMIA® Unisex Toddler Nappies 10kg-15kg 50pk,https://www.aldi.com.au/fileadmin/_processed_/7/5/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_4_4488933568.jpg,50pk,$9.99,20c per nappy
MAMIA® Unisex Walker Nappies 13kg-18kg 44pk,https://www.aldi.com.au/fileadmin/_processed_/b/3/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_5_24d1115ec7.jpg,44pk,$9.99,23c per nappy
Power Force Anti Bac Plus Surface Spray Disinfectant 300g,https://www.aldi.com.au/fileadmin/_processed_/3/4/csm_ALN2619_Q4_WEB_AUDIT_HOUSEHOLD_1x1_228x128_7_R_79e17b707d.jpg,300g,$3.69,$1.23 per 100g
Logix Complete Dishwashing Tablets 30pk,https://www.aldi.com.au/fileadmin/_processed_/0/d/csm_ALN2670_Q1_WEB_AUDIT__HOUSEHOLD__1x1_228x128_2_bbfad0336b.jpg,30pk,$4.29,14c per tablet
Logix Platinum Dishwashing Tablets 40pk,https://www.aldi.com.au/fileadmin/_processed_/f/e/csm_ALN2670_Q1_WEB_AUDIT__HOUSEHOLD__1x1_228x128__d1513af66a.jpg,40pk,$7.69,19c per tablet
Atlas Kill & Protect High Performance Surface & Cockroach Spray 350g,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN2364_AWARDS_HOUSEHOLD_1x1_228x128__c17879937f.jpg,350g,$2.69,77c per 100g
Atlas Kill & Protect Fast Knockdown Flying Insect Spray 300g,https://www.aldi.com.au/fileadmin/_processed_/c/a/csm_ALN2364_AWARDS_HOUSEHOLD_1x1_228x128_2_5f362f794e.jpg,300g,$2.39,80c per 100g
Just Organic Granola 500g Coconut & Chia,https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_ALN2853_AWARDS_JUST-ORGANIC_1x1_228x128_6b9370a881.jpg,Chia,$4.99,90c per 100g
Just Organic Sun-Dried Thompson Seedless Raisins 375g,https://www.aldi.com.au/fileadmin/_processed_/8/e/csm_ALN2230_Q1_ORGANIC_1x1_228x128_13_b0a251a243.jpg,375g,$4.99,$10.64 per kg
Just Organic Extra Virgin Coconut Oil 300g,https://www.aldi.com.au/fileadmin/_processed_/7/7/csm_ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128__bcf6122767.jpg,300g,$3.99,$1.33 per 100g
Just Organic Natural Coconut Flakes 200g,https://www.aldi.com.au/fileadmin/_processed_/2/a/csm_ALN1989_ORGANIC_1x1_33_47fd0e8f64.jpg,200g,$3.99,$19.95 per kg
Just Organic Toasted Coconut Flakes with Sea Salt 140g,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_ALN1989_ORGANIC_1x1_34_386d507624.jpg,140g,$3.79,$28.50 per kg
Just Organic Dark Chocolate with Sea Salt 100g,https://www.aldi.com.au/fileadmin/_processed_/4/0/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128__a35e410266.jpg,100g,$3.79,$2.79 per 100g
Just Organic Dark Chocolate 100g,https://www.aldi.com.au/fileadmin/_processed_/5/7/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_2_476e50ad91.jpg,100g,$2.49,$2.79 per 100g
Just Organic Yogurt Assorted Varieties 70g,https://www.aldi.com.au/fileadmin/_processed_/b/0/csm_ALN2218_Q2_Just_Organic_Yogurt_Assorted_Varieties_70g_1x1_228x128_a9b6197036.jpg,70g,$2.69,$1.41 per 100g
Just Organic Yogurt Assorted Varieties 140g,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_ALN2218_Q2_Just_Organic_Yogurt_Assorted_Varieties_140g_1x1_228x128_01_5fe60a22d4.jpg,140g,9999,$1.06 per 100g
MAMIA® Unisex Junior Nappies 16kg-25kg 40pk,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN3077_AWARD_NAPPIES_1x1_228x128_6_26cfa6aa0e.jpg,40pk,$9.99,25c per nappy
Mamia Baby Wipes 80pk Scented,https://www.aldi.com.au/fileadmin/_processed_/e/3/csm_ALN2147_1x1_BABYCARE_228x128_11_0696c97eb3.jpg,Scented,$1.89,$2.36 per 100 wipes
Mamia Baby Wipes 80pk Fragrance Free,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN2147_1x1_BABYCARE_228x128_10_979bd6d5c5.jpg,Free,$1.89,$2.36 per 100 wipes
Mamia Premium Baby Wipes Fragrance Free 240pk,https://www.aldi.com.au/fileadmin/_processed_/a/f/csm_ALN1075_1x1_BABY_228x128_7_0bde3ee9ed.jpg,240pk,$7.69,$3.20 per 100 wipes
Mamia Baby Wipes 480pk Fragance free,https://www.aldi.com.au/fileadmin/_processed_/d/c/csm_ALN1075_1x1_BABY_228x128_16_1043a94144.jpg,free,$8.99,$1.87 per 100 wipes
Mamia Baby Wipes Embossed Fragrance Free 80pk,https://www.aldi.com.au/fileadmin/_processed_/8/6/csm_ALN1075_AWARDS_BABY_1x1_228x128_3_e251882b00.jpg,80pk,$2.69,$3.36 per 100 wipes
Mamia Baby Wipes Embossed Scented 80pk,https://www.aldi.com.au/fileadmin/_processed_/5/f/csm_ALN1075_AWARDS_BABY_1x1_228x128_4_be73fb2f2c.jpg,80pk,$2.69,$3.36 per 100 wipes
Power Force Pro Multi Purpose Cleaner 750ml,https://www.aldi.com.au/fileadmin/_processed_/8/f/csm_ALN2991_AWARDS_HOUSEHOLD_1x1_228x128_4_abbabb6b20.jpg,750ml,$1.79,24c per 100ml
Power Force Pro Bath & Shower Cleaner 750ml,https://www.aldi.com.au/fileadmin/_processed_/b/0/csm_ALN2853_AWARDS_HOUSEHOLD_1x1_228x128__ddce1e329c.jpg,750ml,$2.39,32c per 100ml
Power Force Pro Heavy Duty Cleaner 1.25L,https://www.aldi.com.au/fileadmin/_processed_/0/f/csm_ALN2853_AWARDS_HOUSEHOLD_1x1_228x128_2_3d36a4ff15.jpg,1.25L,$2.19,18c per 100ml
Tandil Ultra Dishwashing Liquid 450ml,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_ALN3077_AWARDS-LAUNDRY-HOUSEHOLD_1x1_228x128__15b73ca48b.jpg,450ml,$1.59,35c per 100ml
Power Force Pro Disinfectant Wipes 120pk,https://www.aldi.com.au/fileadmin/_processed_/6/7/csm_ALN2853_AWARDS_HOUSEHOLD_1x1_228x128_3_cd147d9a8f.jpg,120pk,$2.99,$2.50 per 100 wipes
Confidence Samson Paper Towel 3ply 3pk,https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN2364_HOUSEHOLD_1x1_228x128_7_3124977ae3.jpg,3pk,$2.99,$1.66 per 100 sheets ($1.00 per roll)
Confidence Toilet Tissue Hypoallgerenic 4ply 8pk,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN2364_HOUSEHOLD_1x1_228x128_8_5bc08f7f42.jpg,8pk,$3.99,36c per 100 sheets (50c per roll)
