Product Title,Product Image,Pack Size,Price,Price Per Unit
Essentials Purify Exfoliating Wash 150ml,https://www.aldi.com.au/fileadmin/_processed_/1/6/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_3_41952414db.jpg,150ml,$3.79,$2.53 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/8/5/csm_ALC7782_THE_BLOCK_1x1_228x128_46_14b472b3c8.jpg,LACURA,$1.69,6c per wipe
Essentials Caring Cleansing Gel 150ml,https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_ALC7782_THE_BLOCK_1x1_228x128_47_c420f81809.jpg,150ml,$1.69,6c per wipe
LACURA,https://www.aldi.com.au/fileadmin/_processed_/7/7/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_9_1dbf20698f.jpg,LACURA,$1.39,$1.74 per 100 rounds
Essentials Fine Balance Foaming Cleansing Gel 150ml,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_10_2945f8c10b.jpg,150ml,9999,41c per 100 tips
LACURA,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_11_f02b9d87a7.jpg,LACURA,c99,50c per unit
Dentitex Advanced Whitening Toothpaste,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2364-7_HEALTH_1x1_228x128__d9c1a69508.jpg,Toothpaste,$1.79,$1.28 per 100g
Market Fare Corn Kernels 1kg,https://www.aldi.com.au/fileadmin/_processed_/a/2/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_2_b2bba5422e.jpg,1kg,$1.99,$2.59 per kg
Market Fare Garden Peas 1kg,https://www.aldi.com.au/fileadmin/_processed_/4/a/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_3_591795a34d.jpg,1kg,$2.99,$1.99 per kg
Market Fare Baby Peas 1kg,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN2853_FROZEN_FOOD_1x1_228x128__772adc84e0.jpg,1kg,$2.79,$2.99 per kg
"Market Fare Peas, Carrots & Corn 1kg",https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_4_32b4dc35ff.jpg,1kg,$1.99,$2.79 per kg
Market Fare Green Beans 1kg,https://www.aldi.com.au/fileadmin/_processed_/f/0/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_5_728efad4f0.jpg,1kg,$2.29,$1.99 per kg
Market Fare Broccoli 500g,https://www.aldi.com.au/fileadmin/_processed_/c/b/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_6_31d847d825.jpg,500g,8949,$4.58 per kg
Market Fare Spinach 250g,https://www.aldi.com.au/fileadmin/_processed_/a/d/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_7_e00448fa4c.jpg,250g,c79,$3.56 per kg
Market Fare Zucchini Noodles 340g,https://www.aldi.com.au/fileadmin/_processed_/8/a/csm_ALN2853_FROZEN_FOOD_1x1_228x128_6_95b755bb96.jpg,340g,$3.19,$10.26 per kg
Market Fare Winter Vegetables 1kg,https://www.aldi.com.au/fileadmin/_processed_/f/a/csm_ALN2364_AWARDS_FROZEN_FOOD_1x1_228x128_10_9729780f9e.jpg,1kg,$2.99,$2.79 per kg
Market Fare Stir Fry Vegetables 850g,https://www.aldi.com.au/fileadmin/_processed_/d/3/csm_ALN2853_FROZEN_FOOD_1x1_228x128_2_b87e9b8cb1.jpg,850g,$3.99,$3.75 per kg
Market Fare Cauliflower or Broccoli Bake 800g,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_8_b9622172af.jpg,800g,$4.99,$6.24 per kg
The Best Margherita Pizza Ever 365g,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN2626_MARGHERITA_PIZZA_1x1_228x128_663241c472.jpg,365g,$4.49,$1.37 per 100g
International Cuisine Supreme Family Pizza 500g,https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_ALN2364_FROZEN_FOOD_1x1_228x128__218af1f32e.jpg,500g,$2.69,59c per 100g
International Cuisine Beef Lasagne 2kg,https://www.aldi.com.au/fileadmin/_processed_/9/f/csm_ALN2853_FROZEN_FOOD_1x1_228x128_9_820f46bccd.jpg,2kg,$8.99,43c per 100g
Essentials Fine Balance Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/_processed_/9/1/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_9_93889e4a72.jpg,30pk,$3.99,$66.60/100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/7/9/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_10_7ffbef2e32.jpg,LACURA,$9.99,$66.60/100ml
Essentials Caring Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/_processed_/6/8/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128__4a518097a6.jpg,30pk,$9.99,$15.98 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/e/6/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_4_bd338d37dd.jpg,LACURA,$7.99,$15.98 per 100ml
Essentials Make Up Rounds 80pk,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_5_e8df2a9cb8.jpg,80pk,$7.99,$15.98 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/0/8/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128__062953c66a.jpg,LACURA,$7.99,$21.98 per 100ml
Essentials Cotton Tips 240pk,https://www.aldi.com.au/fileadmin/_processed_/8/f/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_2_528fdaf309.jpg,240pk,$10.69,$21.98 per 100ml
Dentitex Sensitive Plus Whitening Toothpaste,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_ALN2364-7_HEALTH_1x1_228x128_5_684b45adc5.jpg,Toothpaste,$4.49,$4.08 per 100g
Dentitex Interdental Pro Toothbrush 2pk,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_HEALTH_1x1_228x128_4_5cb4d06f7a.jpg,2pk,$1.99,$1.00 per unit
Dentitex Orbit Toothbrush 2pk,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2364-7_HEALTH_1x1_228x128_3_e4b1c3337d.jpg,2pk,$2.99,$1.50 per unit
Dentitex Mouthwash 1L,https://www.aldi.com.au/fileadmin/_processed_/7/8/csm_ALN2853_HEALTH_1x1_228x128_5_90b70c5e97.jpg,1L,$4.19,42c per 100mL
Dentitex Mouthwash 500ml,https://www.aldi.com.au/fileadmin/_processed_/2/1/csm_ALN3077_HEALTH_1x1_228x128_be3f781b52.jpg,500ml,$3.49,70c per ml
Essential Health Paw Paw Ointment,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN2364-7_HEALTH_1x1_228x128_6_678cce7213.jpg,Ointment,$2.79,$11.16 per 100g
Green Action Eucalyptus Oil 100ml,https://www.aldi.com.au/fileadmin/_processed_/0/d/csm_ALN2853_HEALTH_1x1_228x128_2_52ddfb3258.jpg,100ml,$6.99,$6.99 per 100ml
Hedafen Ibuprofen 24pk,https://www.aldi.com.au/fileadmin/_processed_/e/e/csm_ALN2364-7_HEALTH_1x1_228x128_7_5e19cb1d8b.jpg,24pk,$1.49,6c per tablet
Hedafen Ibuprofen Liquid Capsules 20pk,https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_ALN2364-7_HEALTH_1x1_228x128_8_d5b131d4a1.jpg,20pk,$2.39,12c per capsule
Hedanol Paracetamol Capsule Shaped Tablets 20pk,https://www.aldi.com.au/fileadmin/_processed_/a/5/csm_ALN2364-7_HEALTH_1x1_228x128_9_c613cd50e7.jpg,20pk,6949,3c per tablet
Essential Health Effervescents 15pk,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_ALN2364-7_HEALTH_1x1_228x128_10_586cc47052.jpg,15pk,c49,30c per tablet
Essential Health Electrolytes 20pk,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2853_HEALTH_1x1_228x128__9c3f4c0792.jpg,20pk,$4.99,27c per tablet
LACURA,https://www.aldi.com.au/fileadmin/_processed_/f/8/csm_ALC7782_THE_BLOCK_1x1_228x128_49_b2fd8e8bc4.jpg,LACURA,$10.99,6c per wipe
Essentials Women's Comfort Touch 3 Blade Disposable Razors 8pk,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_3_143a22473a.jpg,8pk,$1.99,$36.63 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_ALN2364_AWARDS_HEALTH-AND-BEAUTY_1x1_228x128_4_c9cee72591.jpg,LACURA,$10.99,$36.63 per 100ml
Skin Science Renew Expert Double Effect Eye Gel 15ml,https://www.aldi.com.au/fileadmin/_processed_/5/d/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_42_6f40505af1.jpg,15ml,$10.99,$73.27 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_11R_1ab1f158f5.jpg,LACURA,$10.99,$21.98 per 100ml
Skin Science Renew Expert Wrinkle Smoother 15ml,https://www.aldi.com.au/fileadmin/_processed_/2/d/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_12_2d6de1ed9e.jpg,15ml,$10.99,$21.98 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/8/4/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_13_ce5f78dd18.jpg,LACURA,$10.99,$73.27 per 100ml
Skin Science Renew Day Cream SPF 15 50ml,https://www.aldi.com.au/fileadmin/_processed_/f/d/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_6_19bbb35ab4.jpg,50ml,$10.99,$15.98 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/8/8/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_8_e00377d4f7.jpg,LACURA,$7.99,$15.98 per 100ml
Skin Science Renew Night Cream 50ml,https://www.aldi.com.au/fileadmin/_processed_/1/e/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_7_34e3505580.jpg,50ml,$7.69,$15.98 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_ALC7782_THE_BLOCK_1x1_228x128_48_bd33cd66a1.jpg,LACURA,$7.99,6c per wipe
Skin Science Renew Serum 50ml,https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_25_76e9bdcba0.jpg,50ml,$1.99,$3.99 per 100ml
LACURA,https://www.aldi.com.au/fileadmin/_processed_/1/b/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_26_20d4d20ddc.jpg,LACURA,$5.99,$3.99 per 100ml
Skin Science Renew Expert Day Cream SPF 15 50ml,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_27_6a0455746a.jpg,50ml,$5.99,$3.99 per 100ml
Essential Health First Aid Strips Plastic 100pk / Fabric 50pk,https://www.aldi.com.au/fileadmin/_processed_/6/4/csm_ALN2364-7_HEALTH_1x1_228x128_11_a6de138e71.jpg,50pk,$5.99,2c-4c per strip
Essential Health Meal Replacement Shakes,https://www.aldi.com.au/fileadmin/_processed_/0/e/csm_ALN2364-7_HEALTH_1x1_228x128_12_2e957e4443.jpg,Shakes,$1.49,$3.62 per 100g
Essential Health Protein Bar 30g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN2364-7_HEALTH_1x1_228x128_13_8e8f2dd529.jpg,30g,$1.99,$4.97 per 100g
Gluten Free Penne 500g,https://www.aldi.com.au/fileadmin/_processed_/6/b/csm_ALN2147_Q4_GLUTEN-FREE_1x1_228x128_4_c0a7d00059.jpg,500g,$2.29,46c per 100g
